BHK,Total_Sq.ft,Price_per_sq.ft,Region
3.0,1400.0,3210.0,29
3.0,2500.0,5400.0,173
5.0,1100.0,5450.0,175
4.0,900.0,5780.0,121
3.0,1200.0,2670.0,192
3.0,2310.0,3000.0,165
2.0,1170.0,3420.0,145
4.0,1862.0,5100.0,60
3.0,1800.0,4440.0,139
4.0,1650.0,2910.0,90
4.0,1400.0,3930.0,29
4.0,1440.0,4650.0,29
5.0,2500.0,3960.0,33
3.0,1400.0,2290.0,90
5.0,1100.0,5450.0,175
4.0,900.0,5780.0,121
3.0,1200.0,2670.0,192
3.0,2310.0,3000.0,165
2.0,1170.0,3420.0,145
4.0,1862.0,5100.0,60
3.0,1800.0,4440.0,139
4.0,1650.0,2910.0,90
4.0,1400.0,3930.0,29
4.0,1440.0,4650.0,29
5.0,2500.0,3960.0,33
3.0,1400.0,2290.0,90
4.0,2584.0,4260.0,143
2.0,720.0,3400.0,128
4.0,2000.0,3500.0,122
5.0,2200.0,3640.0,132
5.0,1800.0,3330.0,122
5.0,2886.0,2600.0,142
4.0,1440.0,3960.0,166
5.0,1876.0,4960.0,121
5.0,2000.0,4000.0,33
7.0,2500.0,3600.0,110
5.0,2500.0,3480.0,35
5.0,2000.0,3750.0,181
4.0,1800.0,3780.0,106
5.0,3000.0,2670.0,33
4.0,2800.0,4640.0,11
2.0,720.0,3400.0,128
4.0,2000.0,3500.0,122
5.0,2200.0,3640.0,132
5.0,1800.0,3330.0,122
5.0,2886.0,2600.0,142
4.0,1440.0,3960.0,166
5.0,1876.0,4960.0,121
5.0,2000.0,4000.0,33
7.0,2500.0,3600.0,110
5.0,2500.0,3480.0,35
5.0,2000.0,3750.0,181
4.0,1800.0,3780.0,106
5.0,3000.0,2670.0,33
4.0,2800.0,4640.0,11
4.0,1470.0,6800.0,10
5.0,2000.0,3500.0,144
2.0,1308.0,3060.0,61
3.0,1440.0,4170.0,24
3.0,1440.0,4030.0000000000005,45
2.0,1395.0,1610.0,181
3.0,1567.0,5110.0,143
4.0,1906.0,3410.0,36
2.0,620.0,2260.0,140
4.0,834.0,4320.0,164
2.0,1308.0,3060.0,61
3.0,1440.0,4170.0,24
3.0,1440.0,4030.0000000000005,45
2.0,1395.0,1610.0,181
3.0,1567.0,5110.0,143
4.0,1906.0,3410.0,36
2.0,620.0,2260.0,140
4.0,834.0,4320.0,164
6.0,2800.0,4820.0,98
4.0,2000.0,4250.0,74
4.0,1300.0,3460.0,23
4.0,1800.0,6220.0,173
4.0,1080.0,3060.0,35
7.0,1480.0,3720.0,164
4.0,1440.0,7640.0,10
3.0,1000.0,5800.0,143
2.0,1180.0,2800.0,86
3.0,2420.0,2890.0,29
4.0,1300.0,3460.0,23
4.0,1800.0,6220.0,173
4.0,1080.0,3060.0,35
7.0,1480.0,3720.0,164
4.0,1440.0,7640.0,10
3.0,1000.0,5800.0,143
2.0,1180.0,2800.0,86
3.0,2420.0,2890.0,29
3.0,1080.0,4260.0,49
5.0,2366.0,3380.0,45
2.0,1100.0,2360.0,175
3.0,1070.0,2710.0,39
3.0,1552.0,3870.0,114
4.0,1080.0,6480.0,33
5.0,3240.0,2160.0,41
7.0,1400.0,8210.0,109
2.0,800.0,4630.0,53
5.0,1800.0,3610.0,166
3.0,1300.0,3850.0,164
6.0,2300.0,2170.0,74
5.0,1080.0,4170.0,35
2.0,850.0,4059.9999999999995,98
3.0,1080.0,4260.0,49
5.0,2366.0,3380.0,45
2.0,1100.0,2360.0,175
3.0,1070.0,2710.0,39
3.0,1552.0,3870.0,114
4.0,1080.0,6480.0,33
5.0,3240.0,2160.0,41
7.0,1400.0,8210.0,109
2.0,800.0,4630.0,53
5.0,1800.0,3610.0,166
3.0,1300.0,3850.0,164
6.0,2300.0,2170.0,74
5.0,1080.0,4170.0,35
2.0,850.0,4059.9999999999995,98
3.0,1000.0,3500.0,60
4.0,1270.0,7480.0,172
4.0,910.0,4950.0,143
4.0,2100.0,5000.0,45
3.0,1800.0,3060.0,103
5.0,1250.0,3040.0,181
4.0,1800.0,6670.0,60
5.0,1500.0,6330.0,74
3.0,1600.0,3750.0,155
3.0,1800.0,4720.0,71
4.0,1600.0,4059.9999999999995,164
5.0,3000.0,2200.0,35
6.0,2000.0,4750.0,95
4.0,1450.0,6550.0,71
2.0,700.0,5710.0,166
3.0,1000.0,3500.0,60
4.0,1270.0,7480.0,172
4.0,910.0,4950.0,143
4.0,2100.0,5000.0,45
3.0,1800.0,3060.0,103
5.0,1250.0,3040.0,181
4.0,1800.0,6670.0,60
5.0,1500.0,6330.0,74
3.0,1600.0,3750.0,155
3.0,1800.0,4720.0,71
4.0,1600.0,4059.9999999999995,164
5.0,3000.0,2200.0,35
6.0,2000.0,4750.0,95
4.0,1450.0,6550.0,71
2.0,700.0,5710.0,166
2.0,750.0,2530.0,172
2.0,880.0,5110.0,143
6.0,3000.0,5000.0,157
3.0,2400.0,3330.0,60
2.0,720.0,2360.0,81
6.0,3300.0,3820.0,74
6.0,2525.0,3560.0,74
5.0,2300.0,3480.0,166
3.0,1280.0,2930.0,90
4.0,1428.0,5460.0,160
2.0,1500.0,3730.0,49
2.0,700.0,1280.0,172
5.0,2200.0,3180.0,74
2.0,750.0,2530.0,172
2.0,880.0,5110.0,143
6.0,3000.0,5000.0,157
3.0,2400.0,3330.0,60
2.0,720.0,2360.0,81
6.0,3300.0,3820.0,74
6.0,2525.0,3560.0,74
5.0,2300.0,3480.0,166
3.0,1280.0,2930.0,90
4.0,1428.0,5460.0,160
2.0,1500.0,3730.0,49
2.0,700.0,1280.0,172
5.0,2200.0,3180.0,74
3.0,1300.0,8080.0,106
8.0,3000.0,5000.0,17
2.0,980.0,2650.0,157
5.0,1600.0,3560.0,184
2.0,800.0,6880.0,29
3.0,1345.0,3520.0,90
4.0,3200.0,1560.0,2
3.0,1200.0,2670.0,192
3.0,2000.0,2750.0,192
2.0,1200.0,6420.0,103
5.0,630.0,7620.0,166
2.0,1000.0,4000.0,2
2.0,875.0,4340.0,69
4.0,2400.0,3130.0,35
5.0,1700.0,7650.0,33
3.0,1300.0,8080.0,106
8.0,3000.0,5000.0,17
2.0,980.0,2650.0,157
5.0,1600.0,3560.0,184
2.0,800.0,6880.0,29
3.0,1345.0,3520.0,90
4.0,3200.0,1560.0,2
3.0,1200.0,2670.0,192
3.0,2000.0,2750.0,192
2.0,1200.0,6420.0,103
5.0,630.0,7620.0,166
2.0,1000.0,4000.0,2
2.0,875.0,4340.0,69
4.0,2400.0,3130.0,35
5.0,1700.0,7650.0,33
5.0,3000.0,2170.0,158
6.0,1982.0,5550.0,121
5.0,1088.0,4140.0,181
5.0,3000.0,4170.0,173
6.0,1910.0,2720.0,181
8.0,1284.0,6070.0,36
6.0,1758.0,3870.0,86
3.0,1095.0,3210.0,181
6.0,2180.0,4130.0,63
2.0,1453.0,1930.0,181
4.0,1465.0,4910.0,35
5.0,3200.0,4690.0,166
4.0,1485.0,3700.0,181
2.0,910.0,2860.0,121
3.0,1450.0,1760.0,181
5.0,3000.0,2170.0,158
6.0,1982.0,5550.0,121
5.0,1088.0,4140.0,181
5.0,3000.0,4170.0,173
6.0,1910.0,2720.0,181
8.0,1284.0,6070.0,36
6.0,1758.0,3870.0,86
3.0,1095.0,3210.0,181
6.0,2180.0,4130.0,63
2.0,1453.0,1930.0,181
4.0,1465.0,4910.0,35
5.0,3200.0,4690.0,166
4.0,1485.0,3700.0,181
2.0,910.0,2860.0,121
3.0,1450.0,1760.0,181
3.0,1680.0,2980.0,166
7.0,1530.0,7840.0,6
5.0,1088.0,4640.0,181
5.0,1810.0,3810.0,181
4.0,1110.0,3380.0,181
2.0,1123.0,2940.0,181
2.0,1260.0,3310.0,121
2.0,1170.0,3120.0,121
5.0,1935.0,4030.0000000000005,181
3.0,948.0,4059.9999999999995,181
3.0,988.0,3920.0,181
6.0,1858.0,2690.0,181
2.0,866.0,3060.0,181
2.0,1150.0,3650.0,29
4.0,1550.0,1770.0,181
3.0,1500.0,2670.0,29
3.0,2880.0,2170.0,181
4.0,2200.0,3450.0,181
3.0,1680.0,2980.0,166
7.0,1530.0,7840.0,6
5.0,1088.0,4640.0,181
5.0,1810.0,3810.0,181
4.0,1110.0,3380.0,181
2.0,1123.0,2940.0,181
2.0,1260.0,3310.0,121
2.0,1170.0,3120.0,121
5.0,1935.0,4030.0000000000005,181
3.0,948.0,4059.9999999999995,181
3.0,988.0,3920.0,181
6.0,1858.0,2690.0,181
2.0,866.0,3060.0,181
2.0,1150.0,3650.0,29
4.0,1550.0,1770.0,181
3.0,1500.0,2670.0,29
3.0,2880.0,2170.0,181
4.0,2200.0,3450.0,181
7.0,2800.0,3750.0,49
4.0,2000.0,6250.0,74
2.0,1200.0,1830.0,23
5.0,1200.0,4750.0,60
3.0,1200.0,5670.0,74
2.0,1100.0,4540.0,143
3.0,1250.0,5360.0,143
4.0,1565.0,4150.0,130
4.0,2000.0,6250.0,74
5.0,1200.0,4750.0,60
3.0,1200.0,5670.0,74
2.0,1100.0,4540.0,143
3.0,1250.0,5360.0,143
4.0,1565.0,4150.0,130
5.0,3000.0,3170.0,175
4.0,1000.0,4500.0,175
2.0,810.0,4320.0,164
3.0,1500.0,4330.0,164
3.0,2300.0,2610.0,144
2.0,805.0,5220.0,164
3.0,800.0,5750.0,164
7.0,3000.0,3830.0,97
2.0,1080.0,2040.0,114
4.0,1500.0,4330.0,164
2.0,800.0,5250.0,164
4.0,1500.0,3330.0,74
5.0,3000.0,3170.0,175
4.0,1000.0,4500.0,175
2.0,810.0,4320.0,164
3.0,1500.0,4330.0,164
3.0,2300.0,2610.0,144
2.0,805.0,5220.0,164
3.0,800.0,5750.0,164
7.0,3000.0,3830.0,97
2.0,1080.0,2040.0,114
4.0,1500.0,4330.0,164
2.0,800.0,5250.0,164
4.0,1500.0,3330.0,74
4.0,1800.0,3610.0,74
6.0,1800.0,3780.0,158
5.0,2000.0,3750.0,192
6.0,3000.0,3000.0,74
3.0,1700.0,7650.0,172
4.0,1700.0,8230.0,172
6.0,2200.0,3410.0,159
2.0,1400.0,3210.0,164
2.0,1800.0,2110.0,122
2.0,900.0,5000.0,74
5.0,1700.0,2650.0,164
4.0,1800.0,3610.0,74
6.0,1800.0,3780.0,158
5.0,2000.0,3750.0,192
6.0,3000.0,3000.0,74
3.0,1700.0,7650.0,172
4.0,1700.0,8230.0,172
6.0,2200.0,3410.0,159
2.0,1400.0,3210.0,164
2.0,1800.0,2110.0,122
2.0,900.0,5000.0,74
5.0,1700.0,2650.0,164
7.0,3200.0,4690.0,164
6.0,3000.0,4330.0,109
4.0,2300.0,2390.0,45
4.0,2100.0,4380.0,10
6.0,3000.0,3830.0,71
5.0,1620.0,4320.0,35
7.0,1550.0,5160.0,35
4.0,1300.0,3850.0,15
6.0,2000.0,4250.0,74
5.0,2500.0,1800.0,166
8.0,1980.0,3540.0,35
3.0,1440.0,4510.0,144
6.0,3000.0,3670.0,109
7.0,3200.0,4690.0,164
6.0,3000.0,4330.0,109
4.0,2300.0,2390.0,45
4.0,2100.0,4380.0,10
6.0,3000.0,3830.0,71
5.0,1620.0,4320.0,35
7.0,1550.0,5160.0,35
4.0,1300.0,3850.0,15
6.0,2000.0,4250.0,74
5.0,2500.0,1800.0,166
8.0,1980.0,3540.0,35
3.0,1440.0,4510.0,144
6.0,3000.0,3670.0,109
4.0,1600.0,3560.0,74
4.0,2500.0,4600.0,71
4.0,2000.0,3750.0,23
3.0,1200.0,7500.0,17
6.0,2000.0,3000.0,95
5.0,2400.0,3750.0,74
4.0,950.0,4820.0,143
4.0,900.0,5000.0,143
4.0,1600.0,3560.0,74
4.0,2500.0,4600.0,71
4.0,2000.0,3750.0,23
3.0,1200.0,7500.0,17
6.0,2000.0,3000.0,95
5.0,2400.0,3750.0,74
4.0,950.0,4820.0,143
4.0,900.0,5000.0,143
4.0,912.0,5010.0,143
4.0,917.0,4990.0,143
5.0,2100.0,5090.0,45
2.0,770.0,5210.0,27
1.0,953.0,6290.0,87
6.0,1200.0,7500.0,109
4.0,2700.0,2590.0,33
4.0,2100.0,2860.0,95
4.0,912.0,5010.0,143
4.0,917.0,4990.0,143
5.0,2100.0,5090.0,45
2.0,770.0,5210.0,27
1.0,953.0,6290.0,87
6.0,1200.0,7500.0,109
4.0,2700.0,2590.0,33
4.0,2100.0,2860.0,95
4.0,1850.0,2920.0,71
4.0,2800.0,3040.0,74
3.0,2345.0,5330.0,97
2.0,1200.0,3170.0,154
5.0,2000.0,6250.0,173
5.0,3100.0,2900.0,28
4.0,1850.0,2920.0,71
4.0,2800.0,3040.0,74
3.0,2345.0,5330.0,97
2.0,1200.0,3170.0,154
5.0,2000.0,6250.0,173
5.0,3100.0,2900.0,28
4.0,1400.0,7140.0,118
5.0,2500.0,5000.0,90
4.0,1200.0,5420.0,10
5.0,1200.0,2920.0,10
1.0,500.0,3300.0,71
3.0,1100.0,4090.0,166
4.0,1400.0,3570.0,166
4.0,1200.0,3750.0,74
3.0,1800.0,3330.0,103
4.0,1200.0,4170.0,166
4.0,1100.0,4090.0,74
4.0,1400.0,7140.0,118
5.0,2500.0,5000.0,90
4.0,1200.0,5420.0,10
5.0,1200.0,2920.0,10
1.0,500.0,3300.0,71
3.0,1100.0,4090.0,166
4.0,1400.0,3570.0,166
4.0,1200.0,3750.0,74
3.0,1800.0,3330.0,103
4.0,1200.0,4170.0,166
4.0,1100.0,4090.0,74
6.0,3200.0,3590.0,173
3.0,1414.0,2400.0,147
3.0,1440.0,3470.0,192
5.0,2000.0,7250.0,118
2.0,1201.0,5830.0,106
5.0,2400.0,5830.0,73
4.0,1420.0,6690.0,10
7.0,3001.0,3330.0,17
3.0,1440.0,2430.0,147
5.0,2000.0,4000.0,155
5.0,3000.0,1430.0,179
6.0,3000.0,3330.0,23
2.0,900.0,2440.0,41
4.0,2000.0,4750.0,130
6.0,3200.0,3590.0,173
3.0,1414.0,2400.0,147
3.0,1440.0,3470.0,192
5.0,2000.0,7250.0,118
2.0,1201.0,5830.0,106
5.0,2400.0,5830.0,73
4.0,1420.0,6690.0,10
7.0,3001.0,3330.0,17
3.0,1440.0,2430.0,147
5.0,2000.0,4000.0,155
5.0,3000.0,1430.0,179
6.0,3000.0,3330.0,23
2.0,900.0,2440.0,41
4.0,2000.0,4750.0,130
4.0,1500.0,2670.0,200
4.0,1800.0,4170.0,166
4.0,1800.0,6670.0,63
5.0,2100.0,4520.0,106
3.0,2000.0,1500.0,41
2.0,800.0,2750.0,41
1.0,2016.0,350.0,159
5.0,2700.0,4070.0000000000005,33
3.0,1000.0,6500.0,74
4.0,1440.0,5900.0,109
3.0,1600.0,3440.0,2
3.0,861.0,5570.0,74
3.0,1300.0,6920.0,118
3.0,900.0,5000.0,121
3.0,1000.0,5000.0,74
2.0,2390.0,1670.0,179
4.0,1500.0,2670.0,200
4.0,1800.0,4170.0,166
4.0,1800.0,6670.0,63
5.0,2100.0,4520.0,106
3.0,2000.0,1500.0,41
2.0,800.0,2750.0,41
1.0,2016.0,350.0,159
5.0,2700.0,4070.0000000000005,33
3.0,1000.0,6500.0,74
4.0,1440.0,5900.0,109
3.0,1600.0,3440.0,2
3.0,861.0,5570.0,74
3.0,1300.0,6920.0,118
3.0,900.0,5000.0,121
3.0,1000.0,5000.0,74
2.0,2390.0,1670.0,179
5.0,2200.0,4090.0,74
4.0,3000.0,2830.0,74
3.0,3000.0,4570.0,166
2.0,700.0,5000.0,74
3.0,1800.0,2670.0,192
4.0,2500.0,4400.0,155
6.0,3000.0,2400.0,175
6.0,3000.0,3000.0,33
4.0,2700.0,2220.0,82
5.0,1620.0,3400.0,90
4.0,3000.0,2830.0,74
3.0,3000.0,4570.0,166
2.0,700.0,5000.0,74
3.0,1800.0,2670.0,192
4.0,2500.0,4400.0,155
6.0,3000.0,2400.0,175
6.0,3000.0,3000.0,33
4.0,2700.0,2220.0,82
5.0,1620.0,3400.0,90
3.0,1440.0,3820.0,192
2.0,2385.0,796.0,41
2.0,1000.0,2500.0,179
4.0,2800.0,3390.0,33
6.0,3000.0,2330.0,158
4.0,3000.0,3270.0,71
2.0,2400.0,3000.0,166
6.0,2500.0,3800.0,173
6.0,3000.0,2600.0,173
3.0,1100.0,2450.0,90
2.0,2385.0,796.0,41
2.0,1000.0,2500.0,179
4.0,2800.0,3390.0,33
6.0,3000.0,2330.0,158
4.0,3000.0,3270.0,71
2.0,2400.0,3000.0,166
6.0,2500.0,3800.0,173
6.0,3000.0,2600.0,173
3.0,1100.0,2450.0,90
3.0,1080.0,2780.0,192
4.0,2000.0,5500.0,74
2.0,1200.0,6670.0,143
3.0,1215.0,4120.0,29
3.0,900.0,3890.0,49
2.0,1250.0,6800.0,173
1.0,1357.0,3390.0,15
3.0,1000.0,5200.0,140
3.0,1420.0,5280.0,158
3.0,1450.0,3790.0,158
3.0,2210.0,4160.0,71
4.0,1500.0,4670.0,74
3.0,1080.0,2780.0,192
4.0,2000.0,5500.0,74
2.0,1200.0,6670.0,143
3.0,1215.0,4120.0,29
3.0,900.0,3890.0,49
2.0,1250.0,6800.0,173
1.0,1357.0,3390.0,15
3.0,1000.0,5200.0,140
3.0,1420.0,5280.0,158
3.0,1450.0,3790.0,158
3.0,2210.0,4160.0,71
4.0,1500.0,4670.0,74
2.0,3000.0,2830.0,130
4.0,1900.0,3680.0,81
6.0,2000.0,5000.0,78
4.0,2000.0,4500.0,74
2.0,920.0,2390.0,192
2.0,972.0,3400.0,143
6.0,2160.0,5090.0,166
3.0,1600.0,5310.0,103
2.0,720.0,4860.0,166
2.0,810.0,5180.0,17
5.0,2800.0,2860.0,33
4.0,1500.0,4330.0,74
2.0,1300.0,5380.0,155
6.0,2400.0,3960.0,130
2.0,3000.0,2830.0,130
4.0,1900.0,3680.0,81
6.0,2000.0,5000.0,78
4.0,2000.0,4500.0,74
2.0,920.0,2390.0,192
2.0,972.0,3400.0,143
6.0,2160.0,5090.0,166
3.0,1600.0,5310.0,103
2.0,720.0,4860.0,166
2.0,810.0,5180.0,17
5.0,2800.0,2860.0,33
4.0,1500.0,4330.0,74
2.0,1300.0,5380.0,155
6.0,2400.0,3960.0,130
4.0,1400.0,4640.0,130
2.0,900.0,2240.0,110
3.0,2200.0,3180.0,23
3.0,2000.0,2250.0,130
5.0,2400.0,2920.0,49
2.0,1400.0,2500.0,175
5.0,2500.0,4400.0,74
5.0,2100.0,3810.0,74
5.0,2400.0,3960.0,71
4.0,1400.0,4640.0,130
2.0,900.0,2240.0,110
3.0,2200.0,3180.0,23
3.0,2000.0,2250.0,130
5.0,2400.0,2920.0,49
2.0,1400.0,2500.0,175
5.0,2500.0,4400.0,74
5.0,2100.0,3810.0,74
5.0,2400.0,3960.0,71
3.0,2500.0,2800.0,138
5.0,3000.0,3830.0,23
4.0,2500.0,3600.0,16
5.0,2500.0,5200.0,106
3.0,1500.0,4130.0,87
2.0,650.0,4310.0,90
5.0,1800.0,4440.0,158
3.0,887.0,3830.0,90
3.0,2500.0,2800.0,138
5.0,3000.0,3830.0,23
4.0,2500.0,3600.0,16
5.0,2500.0,5200.0,106
3.0,1500.0,4130.0,87
2.0,650.0,4310.0,90
5.0,1800.0,4440.0,158
3.0,887.0,3830.0,90
2.0,2520.0,1590.0,164
3.0,1100.0,2680.0,90
3.0,1350.0,2740.0,90
6.0,2200.0,5450.0,81
2.0,1000.0,7500.0,106
2.0,600.0,2170.0,200
2.0,1440.0,5210.0,106
4.0,2000.0,6000.0,43
3.0,2521.0,4760.0,43
6.0,2200.0,5230.0,74
3.0,2520.0,4760.0,43
5.0,2100.0,5710.0,74
6.0,3200.0,4380.0,74
2.0,2520.0,1590.0,164
3.0,1100.0,2680.0,90
3.0,1350.0,2740.0,90
6.0,2200.0,5450.0,81
2.0,1000.0,7500.0,106
2.0,600.0,2170.0,200
2.0,1440.0,5210.0,106
4.0,2000.0,6000.0,43
3.0,2521.0,4760.0,43
6.0,2200.0,5230.0,74
3.0,2520.0,4760.0,43
5.0,2100.0,5710.0,74
6.0,3200.0,4380.0,74
3.0,2000.0,3500.0,23
3.0,2000.0,3500.0,23
4.0,1800.0,2060.0,147
4.0,1100.0,4090.0,73
4.0,1100.0,4090.0,73
3.0,1440.0,3470.0,192
2.0,1260.0,2780.0,155
2.0,2142.0,3030.0,94
6.0,2100.0,5240.0,106
3.0,3000.0,2730.0,158
4.0,1500.0,3000.0,140
5.0,3000.0,5000.0,23
5.0,3000.0,5000.0,23
3.0,1420.0,5280.0,158
6.0,2200.0,5450.0,81
6.0,2200.0,5230.0,74
3.0,2000.0,3500.0,23
3.0,2000.0,3500.0,23
4.0,1800.0,2060.0,147
4.0,1100.0,4090.0,73
4.0,1100.0,4090.0,73
3.0,1440.0,3470.0,192
2.0,1260.0,2780.0,155
2.0,2142.0,3030.0,94
6.0,2100.0,5240.0,106
3.0,3000.0,2730.0,158
4.0,1500.0,3000.0,140
5.0,3000.0,5000.0,23
5.0,3000.0,5000.0,23
3.0,1860.0,3230.0,73
5.0,3500.0,3140.0,166
6.0,2400.0,6250.0,23
3.0,2500.0,3200.0,17
3.0,1650.0,4850.0,17
2.0,600.0,3670.0,17
7.0,2500.0,2000.0,23
3.0,1860.0,3230.0,73
5.0,3500.0,3140.0,166
6.0,2400.0,6250.0,23
3.0,2500.0,3200.0,17
3.0,1650.0,4850.0,17
2.0,600.0,3670.0,17
7.0,2500.0,2000.0,23
6.0,3000.0,4330.0,194
4.0,2100.0,4290.0,118
4.0,2000.0,6500.0,106
2.0,800.0,2380.0,90
7.0,2160.0,4630.0,158
4.0,1200.0,7080.0,103
5.0,1600.0,8130.000000000001,141
5.0,2400.0,4170.0,143
5.0,2000.0,7000.0,130
6.0,3000.0,4330.0,194
4.0,2100.0,4290.0,118
4.0,2000.0,6500.0,106
2.0,800.0,2380.0,90
7.0,2160.0,4630.0,158
4.0,1200.0,7080.0,103
5.0,1600.0,8130.000000000001,141
5.0,2400.0,4170.0,143
5.0,2000.0,7000.0,130
3.0,1335.0,2620.0,90
5.0,2000.0,7500.0,74
3.0,1352.0,3460.0,90
3.0,1200.0,3170.0,74
3.0,1550.0,3230.0,74
2.0,840.0,1780.0,192
4.0,1400.0,3930.0,23
3.0,1135.0,3090.0,90
1.0,450.0,5780.0,194
3.0,1455.0,1850.0,154
4.0,1490.0,2280.0,90
2.0,900.0,2680.0,90
2.0,745.0,2250.0,90
3.0,1366.0,3220.0,122
3.0,1335.0,2620.0,90
5.0,2000.0,7500.0,74
3.0,1352.0,3460.0,90
3.0,1200.0,3170.0,74
3.0,1550.0,3230.0,74
2.0,840.0,1780.0,192
4.0,1400.0,3930.0,23
3.0,1135.0,3090.0,90
1.0,450.0,5780.0,194
3.0,1455.0,1850.0,154
4.0,1490.0,2280.0,90
2.0,900.0,2680.0,90
2.0,745.0,2250.0,90
3.0,1366.0,3220.0,122
5.0,2123.0,5180.0,49
4.0,2000.0,3000.0,166
2.0,900.0,6670.0,166
2.0,900.0,6670.0,166
3.0,840.0,8330.0,166
3.0,1680.0,7740.0,166
4.0,1800.0,3610.0,166
5.0,2000.0,6000.0,173
1.0,580.0,4310.0,189
3.0,900.0,5440.0,189
3.0,1080.0,8330.0,189
2.0,1500.0,6670.0,189
3.0,1800.0,4720.0,90
5.0,2123.0,5180.0,49
4.0,2000.0,3000.0,166
2.0,900.0,6670.0,166
2.0,900.0,6670.0,166
3.0,840.0,8330.0,166
3.0,1680.0,7740.0,166
4.0,1800.0,3610.0,166
5.0,2000.0,6000.0,173
1.0,580.0,4310.0,189
3.0,900.0,5440.0,189
3.0,1080.0,8330.0,189
2.0,1500.0,6670.0,189
3.0,1800.0,4720.0,90
6.0,1800.0,6110.0,45
3.0,1440.0,4510.0,10
3.0,2160.0,3470.0,10
5.0,2700.0,2590.0,45
5.0,1250.0,7040.0,33
3.0,1390.0,3240.0,82
6.0,2400.0,3960.0,101
3.0,1168.0,8400.0,141
6.0,2200.0,2950.0,67
3.0,1424.0,4210.0,58
3.0,1518.0,4280.0,58
3.0,1440.0,4510.0,10
3.0,2160.0,3470.0,10
5.0,2700.0,2590.0,45
5.0,1250.0,7040.0,33
3.0,1390.0,3240.0,82
6.0,2400.0,3960.0,101
3.0,1168.0,8400.0,141
6.0,2200.0,2950.0,67
3.0,1424.0,4210.0,58
3.0,1518.0,4280.0,58
3.0,1200.0,6670.0,158
6.0,3200.0,2340.0,158
4.0,1600.0,6250.0,74
5.0,2000.0,2750.0,164
5.0,3500.0,2740.0,49
5.0,1600.0,6250.0,33
6.0,2166.0,4620.0,166
3.0,1440.0,2220.0,90
4.0,1800.0,5000.0,63
3.0,2200.0,5910.0,173
4.0,1750.0,3880.0,192
3.0,1200.0,6670.0,158
6.0,3200.0,2340.0,158
4.0,1600.0,6250.0,74
5.0,2000.0,2750.0,164
5.0,3500.0,2740.0,49
5.0,1600.0,6250.0,33
6.0,2166.0,4620.0,166
3.0,1440.0,2220.0,90
4.0,1800.0,5000.0,63
3.0,2200.0,5910.0,173
4.0,1750.0,3880.0,192
3.0,1424.0,4070.0000000000005,58
5.0,2100.0,4050.0,155
3.0,1593.0,3890.0,58
4.0,1820.0,6320.0,53
4.0,2100.0,6190.0,149
